case_number,reason,total_txt_docs,non_outcome_txt_docs,has_claim_doc
CSM25870040,only_outcome_docs_present,1,0,no
CSM25870064,only_outcome_docs_present,8,0,no
CSM25870065,only_outcome_docs_present,1,0,no
CSM25870066,only_outcome_docs_present,2,0,no
CSM25870067,only_outcome_docs_present,7,0,no
CSM25870068,only_outcome_docs_present,3,0,no
CSM25870069,only_outcome_docs_present,4,0,no
CSM25870070,only_outcome_docs_present,4,0,no
CSM25870071,only_outcome_docs_present,4,0,no
CSM25870072,only_outcome_docs_present,1,0,no
CSM25870073,only_outcome_docs_present,3,0,no
CSM25870074,only_outcome_docs_present,4,0,no
CSM25870075,only_outcome_docs_present,2,0,no
CSM25870076,only_outcome_docs_present,2,0,no
CSM25870077,only_outcome_docs_present,3,0,no
CSM25870078,only_outcome_docs_present,3,0,no
CSM25870079,only_outcome_docs_present,1,0,no
CSM25870080,only_outcome_docs_present,4,0,no
CSM25870081,only_outcome_docs_present,1,0,no
CSM25870082,only_outcome_docs_present,2,0,no
CSM25870083,only_outcome_docs_present,3,0,no
CSM25870084,only_outcome_docs_present,3,0,no
CSM25870085,only_outcome_docs_present,2,0,no
CSM25870086,only_outcome_docs_present,4,0,no
CSM25870087,only_outcome_docs_present,2,0,no
CSM25870088,only_outcome_docs_present,2,0,no
CSM25870089,only_outcome_docs_present,2,0,no
CSM25870090,only_outcome_docs_present,1,0,no
CSM25870091,only_outcome_docs_present,2,0,no
CSM25870092,only_outcome_docs_present,3,0,no
CSM25870093,only_outcome_docs_present,2,0,no
CSM25870094,only_outcome_docs_present,1,0,no
CSM25870095,only_outcome_docs_present,1,0,no
CSM25870096,only_outcome_docs_present,3,0,no
CSM25870097,only_outcome_docs_present,10,0,no
CSM25870098,only_outcome_docs_present,2,0,no
CSM25870099,only_outcome_docs_present,3,0,no
CSM25870100,only_outcome_docs_present,3,0,no
CSM25870101,only_outcome_docs_present,1,0,no
CSM25870102,only_outcome_docs_present,2,0,no
CSM25870103,only_outcome_docs_present,2,0,no
CSM25870104,only_outcome_docs_present,2,0,no
CSM25870105,only_outcome_docs_present,1,0,no
CSM25870106,only_outcome_docs_present,3,0,no
CSM25870107,only_outcome_docs_present,3,0,no
CSM25870108,only_outcome_docs_present,1,0,no
CSM25870109,only_outcome_docs_present,1,0,no
CSM25870110,only_outcome_docs_present,5,0,no
CSM25870111,only_outcome_docs_present,5,0,no
CSM25870112,only_outcome_docs_present,5,0,no
CSM25870113,only_outcome_docs_present,2,0,no
CSM25870114,only_outcome_docs_present,2,0,no
CSM25870115,only_outcome_docs_present,2,0,no
CSM25870116,only_outcome_docs_present,2,0,no
CSM25870117,only_outcome_docs_present,5,0,no
CSM25870118,only_outcome_docs_present,2,0,no
CSM25870119,only_outcome_docs_present,3,0,no
CSM25870120,only_outcome_docs_present,3,0,no
CSM25870121,only_outcome_docs_present,3,0,no
CSM25870122,only_outcome_docs_present,2,0,no
CSM25870123,only_outcome_docs_present,3,0,no
CSM25870124,only_outcome_docs_present,3,0,no
CSM25870125,only_outcome_docs_present,2,0,no
CSM25870126,only_outcome_docs_present,6,0,no
CSM25870127,only_outcome_docs_present,2,0,no
CSM25870128,only_outcome_docs_present,1,0,no
CSM25870129,only_outcome_docs_present,1,0,no
CSM25870130,only_outcome_docs_present,3,0,no
CSM25870131,only_outcome_docs_present,2,0,no
CSM25870132,only_outcome_docs_present,4,0,no
CSM25870133,only_outcome_docs_present,4,0,no
CSM25870134,only_outcome_docs_present,3,0,no
CSM25870135,only_outcome_docs_present,2,0,no
CSM25870136,only_outcome_docs_present,2,0,no
CSM25870137,only_outcome_docs_present,2,0,no
CSM25870138,only_outcome_docs_present,3,0,no
CSM25870139,only_outcome_docs_present,4,0,no
CSM25870140,only_outcome_docs_present,2,0,no
CSM25870141,only_outcome_docs_present,2,0,no
CSM25870142,only_outcome_docs_present,2,0,no
CSM25870143,only_outcome_docs_present,2,0,no
CSM25870144,only_outcome_docs_present,1,0,no
CSM25870145,only_outcome_docs_present,2,0,no
CSM25870146,only_outcome_docs_present,4,0,no
CSM25870147,only_outcome_docs_present,4,0,no
CSM25870148,only_outcome_docs_present,3,0,no
CSM25870149,only_outcome_docs_present,1,0,no
CSM25870150,only_outcome_docs_present,2,0,no
CSM25870151,only_outcome_docs_present,4,0,no
CSM25870152,only_outcome_docs_present,2,0,no
CSM25870153,only_outcome_docs_present,5,0,no
CSM25870154,only_outcome_docs_present,2,0,no
CSM25870155,only_outcome_docs_present,2,0,no
CSM25870156,only_outcome_docs_present,2,0,no
CSM25870157,only_outcome_docs_present,2,0,no
CSM25870158,only_outcome_docs_present,4,0,no
CSM25870159,only_outcome_docs_present,2,0,no
CSM25870160,only_outcome_docs_present,5,0,no
CSM25870161,only_outcome_docs_present,3,0,no
CSM25870162,only_outcome_docs_present,4,0,no
CSM25870163,only_outcome_docs_present,4,0,no
CSM25870164,only_outcome_docs_present,2,0,no
CSM25870165,only_outcome_docs_present,3,0,no
CSM25870166,only_outcome_docs_present,4,0,no
CSM25870167,only_outcome_docs_present,2,0,no
CSM25870168,only_outcome_docs_present,2,0,no
CSM25870169,only_outcome_docs_present,2,0,no
CSM25870170,only_outcome_docs_present,3,0,no
CSM25870171,only_outcome_docs_present,3,0,no
CSM25870172,only_outcome_docs_present,1,0,no
CSM25870173,only_outcome_docs_present,2,0,no
CSM25870174,only_outcome_docs_present,1,0,no
CSM25870175,only_outcome_docs_present,3,0,no
CSM25870176,only_outcome_docs_present,2,0,no
CSM25870177,only_outcome_docs_present,4,0,no
CSM25870178,only_outcome_docs_present,3,0,no
CSM25870179,only_outcome_docs_present,2,0,no
CSM25870180,only_outcome_docs_present,3,0,no
CSM25870181,only_outcome_docs_present,2,0,no
CSM25870182,only_outcome_docs_present,4,0,no
CSM25870183,only_outcome_docs_present,2,0,no
CSM25870184,only_outcome_docs_present,4,0,no
CSM25870185,only_outcome_docs_present,5,0,no
CSM25870186,only_outcome_docs_present,5,0,no
CSM25870187,only_outcome_docs_present,5,0,no
CSM25870188,only_outcome_docs_present,2,0,no
CSM25870189,only_outcome_docs_present,3,0,no
CSM25870190,only_outcome_docs_present,4,0,no
CSM25870191,only_outcome_docs_present,1,0,no
CSM25870192,only_outcome_docs_present,4,0,no
CSM25870193,only_outcome_docs_present,4,0,no
CSM25870194,only_outcome_docs_present,1,0,no
CSM25870195,only_outcome_docs_present,2,0,no
CSM25870196,only_outcome_docs_present,3,0,no
CSM25870197,only_outcome_docs_present,2,0,no
CSM25870198,only_outcome_docs_present,3,0,no
CSM25870199,only_outcome_docs_present,4,0,no
CSM25870200,only_outcome_docs_present,4,0,no
CSM25870201,only_outcome_docs_present,6,0,no
CSM25870202,only_outcome_docs_present,2,0,no
CSM25870203,only_outcome_docs_present,2,0,no
CSM25870204,only_outcome_docs_present,2,0,no
CSM25870205,only_outcome_docs_present,2,0,no
CSM25870206,only_outcome_docs_present,2,0,no
CSM25870207,only_outcome_docs_present,4,0,no
CSM25870208,only_outcome_docs_present,3,0,no
CSM25870209,only_outcome_docs_present,2,0,no
CSM25870210,only_outcome_docs_present,3,0,no
CSM25870211,only_outcome_docs_present,4,0,no
CSM25870212,only_outcome_docs_present,5,0,no
CSM25870213,only_outcome_docs_present,4,0,no
CSM25870214,only_outcome_docs_present,5,0,no
CSM25870215,only_outcome_docs_present,7,0,no
CSM25870216,only_outcome_docs_present,5,0,no
CSM25870217,only_outcome_docs_present,1,0,no
CSM25870218,only_outcome_docs_present,3,0,no
CSM25870219,only_outcome_docs_present,3,0,no
CSM25870220,only_outcome_docs_present,2,0,no
CSM25870221,only_outcome_docs_present,2,0,no
CSM25870222,only_outcome_docs_present,2,0,no
CSM25870223,only_outcome_docs_present,2,0,no
CSM25870224,only_outcome_docs_present,3,0,no
CSM25870225,only_outcome_docs_present,5,0,no
CSM25870226,only_outcome_docs_present,4,0,no
CSM25870227,only_outcome_docs_present,2,0,no
CSM25870228,only_outcome_docs_present,2,0,no
CSM25870229,only_outcome_docs_present,2,0,no
CSM25870230,only_outcome_docs_present,2,0,no
CSM25870231,only_outcome_docs_present,3,0,no
CSM25870232,only_outcome_docs_present,3,0,no
CSM25870233,only_outcome_docs_present,2,0,no
CSM25870234,only_outcome_docs_present,2,0,no
CSM25870235,only_outcome_docs_present,4,0,no
CSM25870236,only_outcome_docs_present,2,0,no
CSM25870237,only_outcome_docs_present,2,0,no
CSM25870238,only_outcome_docs_present,1,0,no
CSM25870239,only_outcome_docs_present,5,0,no
CSM25870240,only_outcome_docs_present,4,0,no
CSM25870241,only_outcome_docs_present,2,0,no
CSM25870242,only_outcome_docs_present,2,0,no
CSM25870243,only_outcome_docs_present,2,0,no
CSM25870244,only_outcome_docs_present,2,0,no
CSM25870245,only_outcome_docs_present,3,0,no
CSM25870246,only_outcome_docs_present,3,0,no
CSM25870247,only_outcome_docs_present,1,0,no
CSM25870248,only_outcome_docs_present,2,0,no
CSM25870249,only_outcome_docs_present,3,0,no
CSM25870250,only_outcome_docs_present,3,0,no
CSM25870251,only_outcome_docs_present,2,0,no
CSM25870252,only_outcome_docs_present,5,0,no
CSM25870253,only_outcome_docs_present,4,0,no
CSM25870254,only_outcome_docs_present,6,0,no
CSM25870255,only_outcome_docs_present,2,0,no
CSM25870256,only_outcome_docs_present,1,0,no
