amount_awarded_costs,amount_awarded_interest,amount_awarded_principal,argument_cites_contract_or_document,argument_cites_specific_dates,argument_cites_specific_dollar_amounts,argument_cites_statute_or_legal_basis,argument_has_chronological_timeline,argument_identifies_specific_location,argument_names_specific_witnesses,argument_quantifies_each_damage_component,attempted_mediation,case_number,claim_amount_is_within_small_claims_limit,claim_amount_stated_in_dollars,claim_category,contract_is_signed_by_both_parties,contract_is_written,contract_present,contract_specifies_deadline_or_term,contract_specifies_payment_amount,counterclaim_present,damages_are_ongoing,damages_have_third_party_valuation,damages_include_lost_wages,damages_include_out_of_pocket_costs,damages_include_property_value_loss,defendant_appeared,defendant_count,dismissal_type,document_count,feature_version,gave_opportunity_to_cure,has_attorney_defendant,has_attorney_plaintiff,has_expert_assessment,has_invoices_or_billing_records,has_medical_records,has_photos_or_physical_evidence,has_police_report,has_receipts_or_financial_records,has_repair_or_replacement_estimate,has_signed_contract_attached,has_witness_statements,has_written_communications,judgment_date,missing_features,monetary_amount_claimed,opposing_party_filed_response_documents,opposing_party_has_attorney,outcome,outcome_summary,plaintiff_count,sent_certified_mail,sent_written_demand_letter,text_length,user_has_attorney,user_is_plaintiff,user_seeks_court_costs,user_seeks_interest,witness_count
0.0,0.0,5000.0,,,,,,,,,,CSM24867795,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-02-26,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $5,000 in unpaid rent.",,,,,,,,,
0.0,0.0,4767.0,,,,,,,,,,CSM24867796,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-02-26,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, ordering the defendant to pay $4,767.00 for unpaid rent.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867797,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-05-02,True,,,,dismissed,The case was dismissed without prejudice due to no appearances.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867798,,,,,,,,,,,,,,,,,without_prejudice,,,,,True,,,,,,,,,,,2024-02-21,True,,,,dismissed,"The case was dismissed without prejudice on February 21, 2024.",,,,,,,,,
0.0,0.0,4000.0,,,,,,,,,,CSM24867799,,,,,,,,,,,,,,,False,,,,,,False,False,,,,,,,,,,,2024-04-25,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $4,000 to Maria Reina Sorte de Hernandez.",,,,,,,,,
220.0,0.0,2500.0,,,,,,,,,,CSM24867800,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-06,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $2,500 in principal and $220 in costs.",,,,,,,,,
75.0,0.0,6000.0,,,,,,,,,,CSM24867801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-15,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $6000 in principal and $75 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867802,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-12,True,,,,defendant_win,The defendant does not owe the plaintiff any money as the plaintiff did not establish additional damages.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-28,True,,,,defendant_win,The court ruled that the defendant does not owe the plaintiffs any money on their claim.,,,,,,,,,
115.0,0.0,1000.0,,,,,,,,,,CSM24867804,,,,,,,,,,,,,,,True,,,,,,False,True,,,,,,,,,,,2024-03-07,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, ordering the defendant to pay $1,000 in principal and $115 in costs.",,,,,,,,,
